States,Holidays,ThresHold
Alabama,18,High
Alaska,15,Medium
Arizona,15,Medium
Arkansas,14,Low
California,15,Medium
Colorado,14,Low
Connecticut,16,Medium
Delaware,16,Medium
Columbia,15,Medium
Florida,13,Low
Georgia,16,Medium
Hawaii,18,High
Idaho,15,Medium
Illinois,18,High
Indiana,18,High
Iowa,13,Low
Kansas,13,Low
Kentucky,16,Medium
Lousiana,15,Medium
Maine,16,Medium
Maryland,16,Medium
Massachusetts,14,Low
Michigan,17,Medium
Minnesota,14,Low
Mississippi,15,Medium
Missouri,16,Medium
Montana,15,Medium
Nebraska,16,Medium
Nevada,15,Medium
New Hampshire,15,Medium
New Jersey,15,Medium
New Mexico,14,Low
New York,16,Medium
North Carolina,16,Medium
North Dakota,14,Low
Ohio,14,Low
Oklahoma,15,Medium
Pennsylvania,15,Medium
Rhode Island,15,Medium
South Carolina,17,Medium
South Dakota,14,Low
Tennessee,17,Medium
Texas,21,High
Utah,15,Medium
Vermont,15,Medium
Virginia,19,High
Washington,14,Low
West Virginia,18,High
Wisconsin,13,Low
Wyoming,13,Low
